,,,,"Total initial assessments1,2",,"Total owed a prevention or relief duty
","Threatened with homelessness within 56 days - 
Prevention duty owed",due to service of valid Section 21 Notice3,"Homeless - 
Relief duty owed4",,Not homeless nor threatened with homelessness within 56 days - no duty owed,,"Number of households
 in area4 (000s)","Households assessed as threatened with homelessness
per (000s)","Households assessed as homeless
per (000s)",homeless end prevention duty dindt get,homeless with relief duty didn’t get,homeless didn’t get accomadation
E06000004,Stockton-on-Tees,,,"2,312",,"2,206","1,451",117,755,,106,,83.32,17.42,9.06,338,490,828
E06000021,Stoke-on-Trent,,,"1,445",,"1,405",491,90,914,,40,,111.07,4.42,8.23,86,240,326
E07000221,Stratford-on-Avon,,,581,,547,265,18,282,,34,,57.88,4.58,4.87,129,116,245
E07000082,Stroud,,,..,,..,..,..,..,,..,,.., .. , .. ,#VALUE!,#VALUE!,#VALUE!
E08000024,Sunderland,,,"1,735",,"1,526",318,41,"1,208",,209,,122.43,2.6,9.87,80,149,229
E07000214,Surrey Heath,,,159,,146,61,36,85,,13,,34.73,1.76,2.45,19,8,27
E09000029,Sutton,,,968,,808,355,14,453,,160,,83.03,4.28,5.46,84,175,259
E07000113,Swale,,,839,,821,324,44,497,,18,,63.36,5.11,7.84,137,140,277
E06000030,Swindon,,,"1,144",,"1,140",268,13,872,,4,,96.06,2.79,9.08,159,96,255
E08000008,Tameside,,,"1,136",,"1,134",403,21,731,,2,,99.51,4.05,7.35,181,151,332
E07000199,Tamworth,,,324,,320,129,5,191,,4,,32.42,3.98,5.89,28,67,95
E07000215,Tandridge,,,245,,244,136,10,108,,1,,35.94,3.78,3,51,55,106
E07000045,Teignbridge,,,830,,826,690,20,136,,4,,60.56,11.39,2.25,205,224,429
E06000020,Telford & Wrekin,,,906,,899,377,15,522,,7,,72.88,5.17,7.16,131,178,309
E07000076,Tendring,,,711,,708,266,35,442,,3,,68,3.91,6.5,89,122,211
E07000093,Test Valley,,,496,,486,266,5,220,,10,,52.89,5.03,4.16,106,151,257
E07000083,Tewkesbury,,,306,,305,177,8,128,,1,,41.28,4.29,3.1,73,91,164
E07000114,Thanet,,,"1,250",,"1,240",615,114,625,,10,,64.97,9.47,9.62,151,201,352
E07000102,Three Rivers,,,421,,349,229,0,120,,72,,37.88,6.05,3.17,110,74,184
E06000034,Thurrock,,,722,,714,288,9,426,,8,,68.1,4.23,6.26,286,60,346
E07000115,Tonbridge & Malling,,,308,,307,97,19,210,,1,,54.14,1.79,3.88,54,23,77
E06000027,Torbay,,,"1,054",,"1,051",226,42,825,,3,,63.13,3.58,13.07,96,92,188
E07000046,Torridge,,,449,,429,204,41,225,,20,,31.26,6.53,7.2,54,103,157
E09000030,Tower Hamlets,,,"2,044",,"1,940",760,61,"1,180",,104,,136.56,5.57,8.64,309,187,496
E08000009,Trafford,,,831,,820,418,10,402,,11,,98.39,4.25,4.09,242,109,351
E07000116,Tunbridge Wells,,,..,,..,..,..,..,,..,,.., .. , .. ,235,105,340
E07000077,Uttlesford,,,150,,150,48,0,102,,0,,36.78,1.31,2.77,19,19,38
E07000180,Vale of White Horse,,,397,,394,296,13,98,,3,,57.84,5.12,1.69,60,159,219
E08000036,Wakefield,,,"1,774",,"1,505",969,36,536,,269,,153.71,6.3,3.49,445,402,847
E08000030,Walsall,,,838,,827,345,7,482,,11,,113.95,3.03,4.23,106,232,338
E09000031,Waltham Forest,,,"1,949",,"1,940","1,007",39,933,,9,,102.83,9.79,9.07,613,108,721
E09000032,Wandsworth,,,"2,044",,"1,940",760,61,"1,180",,104,,136.56,5.57,8.64,157,102,259
E06000007,Warrington,,,"2,070",,"1,796","1,053",42,743,,274,,91.83,11.47,8.09,493,339,832
E07000222,Warwick,,,414,,359,87,9,272,,55,,61.86,1.41,4.4,39,46,85
E07000103,Watford,,,324,,318,133,2,185,,6,,39.64,3.36,4.67,43,31,74
E07000216,Waverley,,,272,,255,128,10,127,,17,,51.01,2.51,2.49,40,66,106
E07000065,Wealden,,,483,,475,217,18,258,,8,,69.97,3.1,3.69,93,110,203
E07000156,Wellingborough,,,366,,351,142,11,209,,15,,34.82,4.08,6,70,43,113
E07000241,Welwyn Hatfield,,,"1,069",,891,489,30,402,,178,,48.58,10.07,8.27,313,88,401
E06000037,West Berkshire,,,527,,496,201,19,295,,31,,65.88,3.05,4.48,51,76,127
E07000047,West Devon,,,261,,258,201,17,57,,3,,24.76,8.12,2.3,29,78,107
E07000127,West Lancashire,,,140,,139,35,7,104,,1,,46.78,0.75,2.22,6,28,34
E07000142,West Lindsey,,,504,,501,239,32,262,,3,,42.61,5.61,6.15,65,116,181
E07000181,West Oxfordshire,,,256,,256,89,3,167,,0,,47.48,1.87,3.52,31,46,77
E07000245,West Suffolk,,,942,,915,234,29,681,,27,,74.99,3.12,9.08,88,104,192
E09000033,Westminster,,,"1,808",,"1,604",348,18,"1,256",,204,,123.17,2.83,10.2,82,73,155
E08000010,Wigan,,,"2,141",,"2,106",613,115,"1,493",,35,,145.82,4.2,10.24,326,195,521
E06000054,Wiltshire,,,"1,502",,"1,456",953,50,503,,46,,215.96,4.41,2.33,309,540,849
E07000094,Winchester,,,293,,292,160,24,132,,1,,50.85,3.15,2.6,49,105,154
E06000040,Windsor & Maidenhead,,,494,,470,216,18,254,,24,,61.92,3.49,4.1,89,64,153
E08000015,Wirral,,,"1,151",,"1,129",270,23,859,,22,,145.17,1.86,5.92,173,97,270
E07000217,Woking,,,..,,..,..,..,..,,..,,.., .. , .. ,38,75,113
E06000041,Wokingham,,,322,,321,151,31,170,,1,,67.38,2.24,2.52,48,40,88
E08000031,Wolverhampton,,,"2,412",,"2,287",708,96,"1,579",,125,,107.66,6.58,14.67,355,139,494
E07000237,Worcester,,,669,,663,298,20,365,,6,,44.26,6.73,8.25,116,140,256
E07000229,Worthing,,,487,,470,123,37,347,,17,,50.62,2.43,6.86,37,34,71
E07000238,Wychavon,,,418,,403,152,16,251,,15,,56.49,2.69,4.44,63,83,146
E07000128,Wyre,,,528,,507,341,16,166,,21,,50.39,6.77,3.29,56,164,220
E07000239,Wyre Forest,,,443,,442,214,14,228,,1,,46.22,4.63,4.93,107,115,222
E06000014,York,,,814,,803,566,15,237,,11,,87.58,6.46,2.71,357,160,517
,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
1,"The outcome of the assessment whether the applicant is homeless or threatened with homelessness and what, if any, duty is owed to them by the local authority.",,,,,,,,,,,,,,,,,
2,"Totals include estimates for 29 authorities (Allerdale, Brighton and Hove, Charnwood, Chichester, Dartford, East Cambridgeshire, East Lindsey, Eastbourne, Halton, Hambleton, Harrogate, Hartlepool, Hounslow, Lancaster, Lewes, Melton, Newark and Sherwood, Newham, North Lincolnshire, Preston, Redbridge, Rother, Somerset West and Taunton, South Tyneside, Stevenage, Stroud, Tunbridge Wells, Wandsworth, and Woking) who did not provide accurate data for all four quarters but have provided figures in other quarters. These values were used to derive estimates.",,,,,,,,,,,,,,,,,
3,Notice to end an Assured Shorthold Tenancy (AST) which expires within 56 days,,,,,,,,,,,,,,,,,
4,Only includes households assessed as homeless on initial assessment. This excludes the number of relief duties owed to households who were homeless at the end of a prevention duty - found in table P1.,,,,,,,,,,,,,,,,,
5,The 2018-based household projections for 2021 can be found at: ,,,,,,,,,,,,,,,,,
,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationprojections/datalist,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Totals may not equal the sum of components because of rounding.,,,,,,,,,,,,,,,,,
..,incomplete or no data received from the local authority,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source,DLUHC H-CLIC Homelessness returns (quarterly),,,,,,,,,,,,,,,,,
,email: homelessnessstats@levellingup.gov.uk,,,,,,,,,,,,,,,,,
,Latest update: September 2022,,,,,,,,,,,,,,,,,
,Next update: Autumn 2022,,,,,,,,,,,,,,,,,
